"date_id";"date";"timestamp";"weekend";"day_of_week";"month";"month_day";"year";"week_starting_monday"
70;"2010-03-12";1268332200;"Weekday";"Friday";"March";12;2010;"10"
71;"2010-03-13";1268418600;"Weekend";"Saturday";"March";13;2010;"10"
72;"2010-03-14";1268505000;"Weekend";"Sunday";"March";14;2010;"10"
73;"2010-03-15";1268591400;"Weekday";"Monday";"March";15;2010;"11"
74;"2010-03-16";1268677800;"Weekday";"Tuesday";"March";16;2010;"11"
75;"2010-03-17";1268764200;"Weekday";"Wednesday";"March";17;2010;"11"
76;"2010-03-18";1268850600;"Weekday";"Thursday";"March";18;2010;"11"
77;"2010-03-19";1268937000;"Weekday";"Friday";"March";19;2010;"11"
78;"2010-03-20";1269023400;"Weekend";"Saturday";"March";20;2010;"11"
79;"2010-03-21";1269109800;"Weekend";"Sunday";"March";21;2010;"11"
80;"2010-03-22";1269196200;"Weekday";"Monday";"March";22;2010;"12"
81;"2010-03-23";1269282600;"Weekday";"Tuesday";"March";23;2010;"12"
82;"2010-03-24";1269369000;"Weekday";"Wednesday";"March";24;2010;"12"
83;"2010-03-25";1269455400;"Weekday";"Thursday";"March";25;2010;"12"
84;"2010-03-26";1269541800;"Weekday";"Friday";"March";26;2010;"12"
85;"2010-03-27";1269628200;"Weekend";"Saturday";"March";27;2010;"12"
86;"2010-03-28";1269714600;"Weekend";"Sunday";"March";28;2010;"12"
87;"2010-03-29";1269801000;"Weekday";"Monday";"March";29;2010;"13"
88;"2010-03-30";1269887400;"Weekday";"Tuesday";"March";30;2010;"13"
89;"2010-03-31";1269973800;"Weekday";"Wednesday";"March";31;2010;"13"
90;"2010-04-01";1270060200;"Weekday";"Thursday";"April";1;2010;"13"
91;"2010-04-02";1270146600;"Weekday";"Friday";"April";2;2010;"13"
92;"2010-04-03";1270233000;"Weekend";"Saturday";"April";3;2010;"13"
93;"2010-04-04";1270319400;"Weekend";"Sunday";"April";4;2010;"13"
94;"2010-04-05";1270405800;"Weekday";"Monday";"April";5;2010;"14"
95;"2010-04-06";1270492200;"Weekday";"Tuesday";"April";6;2010;"14"
96;"2010-04-07";1270578600;"Weekday";"Wednesday";"April";7;2010;"14"
97;"2010-04-08";1270665000;"Weekday";"Thursday";"April";8;2010;"14"
98;"2010-04-09";1270751400;"Weekday";"Friday";"April";9;2010;"14"
99;"2010-04-10";1270837800;"Weekend";"Saturday";"April";10;2010;"14"
100;"2010-04-11";1270924200;"Weekend";"Sunday";"April";11;2010;"14"
101;"2010-04-12";1271010600;"Weekday";"Monday";"April";12;2010;"15"
102;"2010-04-13";1271097000;"Weekday";"Tuesday";"April";13;2010;"15"
103;"2010-04-14";1271183400;"Weekday";"Wednesday";"April";14;2010;"15"
104;"2010-04-15";1271269800;"Weekday";"Thursday";"April";15;2010;"15"
105;"2010-04-16";1271356200;"Weekday";"Friday";"April";16;2010;"15"
106;"2010-04-17";1271442600;"Weekend";"Saturday";"April";17;2010;"15"
107;"2010-04-18";1271529000;"Weekend";"Sunday";"April";18;2010;"15"
108;"2010-04-19";1271615400;"Weekday";"Monday";"April";19;2010;"16"
109;"2010-04-20";1271701800;"Weekday";"Tuesday";"April";20;2010;"16"
110;"2010-04-21";1271788200;"Weekday";"Wednesday";"April";21;2010;"16"
111;"2010-04-22";1271874600;"Weekday";"Thursday";"April";22;2010;"16"
112;"2010-04-23";1271961000;"Weekday";"Friday";"April";23;2010;"16"
113;"2010-04-24";1272047400;"Weekend";"Saturday";"April";24;2010;"16"
114;"2010-04-25";1272133800;"Weekend";"Sunday";"April";25;2010;"16"
115;"2010-04-26";1272220200;"Weekday";"Monday";"April";26;2010;"17"
116;"2010-04-27";1272306600;"Weekday";"Tuesday";"April";27;2010;"17"
117;"2010-04-28";1272393000;"Weekday";"Wednesday";"April";28;2010;"17"
118;"2010-04-29";1272479400;"Weekday";"Thursday";"April";29;2010;"17"
119;"2010-04-30";1272565800;"Weekday";"Friday";"April";30;2010;"17"
120;"2010-05-01";1272652200;"Weekend";"Saturday";"May";1;2010;"17"
121;"2010-05-02";1272738600;"Weekend";"Sunday";"May";2;2010;"17"
122;"2010-05-03";1272825000;"Weekday";"Monday";"May";3;2010;"18"
